sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
1,4.93E-07,8.00E-08,3.64E+20,3.11E-07,1.31E-06,9.89E-04,,2.47E+00,8.02E+04,,9.53E-03,2.20E+02
2,4.09E-07,8.00E-08,5.76E+20,1.48E-08,1.31E-06,7.97E-04,,1.99E+00,7.77E+04,,4.36E-03,2.21E+02
3,4.80E-07,8.00E-08,6.95E+20,4.93E-07,1.31E-06,4.72E-04,,1.18E+00,7.61E+04,,2.15E-03,2.21E+02
4,3.83E-07,1.10E-07,8.68E+20,5.07E-07,1.31E-06,8.41E-04,,2.10E+00,7.26E+04,,1.60E-03,2.21E+02
5,4.41E-07,1.10E-07,1.12E+20,1.15E-07,1.31E-06,9.09E-04,,2.27E+00,7.98E+04,,8.90E-01,1.71E+02
6,4.29E-07,1.00E-07,4.18E+20,7.60E-07,1.31E-06,1.38E-04,1.08E+00,1.50E-01,1.06E+02,1.07E+04,1.33E+01,1.66E+01
7,4.63E-07,1.30E-07,5.86E+20,3.56E-07,1.31E-06,3.32E-04,9.44E-01,3.13E-01,4.02E+01,6.72E+03,3.46E+01,2.10E+00
8,4.15E-07,8.00E-08,8.56E+20,8.23E-08,1.31E-06,2.01E-04,,5.03E-01,7.50E+04,,3.77E-03,2.21E+02
9,4.17E-07,1.20E-07,2.64E+20,5.67E-07,1.31E-06,7.15E-04,,1.79E+00,7.41E+04,,7.44E-01,1.78E+02
10,3.77E-07,1.10E-07,6.54E+20,3.83E-07,1.31E-06,1.55E-04,,3.88E-01,7.52E+04,,3.76E-04,2.21E+02
11,4.20E-07,1.20E-07,4.91E+20,6.17E-07,1.31E-06,9.45E-04,,2.36E+00,6.92E+04,,3.36E-01,2.00E+02
12,3.58E-07,8.00E-08,7.73E+20,2.17E-07,1.31E-06,5.94E-04,,1.49E+00,7.63E+04,,2.51E-03,2.21E+02
13,3.53E-07,1.10E-07,8.16E+20,1.48E-07,1.31E-06,7.02E-04,,1.76E+00,7.40E+04,,1.35E-03,2.21E+02
14,4.45E-07,1.10E-07,4.76E+17,1.96E-07,1.31E-06,5.44E-04,,1.36E+00,8.53E+04,,6.17E-01,1.85E+02
15,4.88E-07,1.20E-07,7.23E+20,4.18E-07,1.31E-06,3.74E-04,,9.35E-01,6.59E+04,,2.60E-01,2.05E+02
16,4.99E-07,1.20E-07,4.64E+20,7.70E-07,1.31E-06,5.17E-04,,1.29E+00,6.95E+04,,2.77E-01,2.04E+02
17,3.89E-07,1.00E-07,6.06E+20,2.79E-07,1.31E-06,1.29E-04,1.08E+00,1.39E-01,1.15E+02,7.66E+03,1.23E+01,1.76E+01
18,3.93E-07,8.00E-08,1.36E+20,1.85E-07,1.31E-06,4.20E-04,,1.05E+00,8.41E+04,,4.67E-01,1.93E+02
19,4.32E-07,1.20E-07,9.23E+20,6.86E-08,1.31E-06,4.24E-04,,1.06E+00,7.30E+04,,6.54E-04,2.21E+02
20,4.59E-07,1.10E-07,8.88E+19,4.01E-07,1.31E-06,3.58E-04,1.05E+00,3.75E-01,8.25E+04,1.24E+04,8.18E+01,1.18E+02
21,3.80E-07,1.20E-07,1.75E+20,2.66E-07,1.31E-06,1.84E-04,,4.60E-01,7.69E+04,,1.18E-01,2.13E+02
22,3.87E-07,1.00E-07,2.92E+20,7.08E-07,1.31E-06,2.37E-04,9.87E-01,2.34E-01,5.71E+01,8.45E+03,2.16E+01,4.12E+00
23,4.36E-07,1.00E-07,9.86E+20,6.05E-07,1.31E-06,2.64E-04,9.71E-01,2.56E-01,5.05E+01,6.71E+03,2.75E+01,3.24E+00
24,4.00E-07,1.20E-07,4.46E+20,5.55E-08,1.31E-06,9.22E-04,,2.31E+00,6.96E+04,,1.63E-01,2.10E+02
25,3.75E-07,9.00E-08,4.93E+19,5.58E-07,1.31E-06,2.57E-04,9.84E-01,2.53E-01,5.18E+01,9.91E+03,2.03E+01,3.40E+00
26,4.96E-07,7.00E-08,1.94E+20,3.84E-07,1.31E-06,3.42E-04,9.33E-01,3.19E-01,3.67E+01,5.25E+03,3.18E+01,1.76E+00
27,4.73E-07,9.00E-08,7.52E+19,6.60E-07,1.31E-06,4.84E-04,9.05E-01,4.38E-01,2.49E+01,6.39E+03,4.00E+01,9.25E-01
28,4.65E-07,1.00E-07,5.11E+20,2.88E-07,1.31E-06,1.03E-04,1.14E+00,1.18E-01,1.49E+02,8.59E+03,9.71E+00,2.15E+01
29,4.47E-07,8.00E-08,2.06E+20,1.03E-07,1.31E-06,4.48E-04,2.30E+00,1.03E+00,8.24E+04,5.48E+03,8.39E+01,1.18E+02
30,4.28E-07,1.20E-07,5.26E+20,2.85E-08,1.31E-06,3.93E-04,,9.83E-01,6.89E+04,,4.91E-02,2.18E+02
