sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
51,3.73E-07,1.20E-07,7.39E+20,1.31E-06,1.94E-07,6.35E-04,,1.59E+00,6.57E+04,,2.46E-01,FALSE,3.29E+03,1.98E+00,2.05E+02,5.60E+02,9.39E+01,6.72E+02,7.61E-07,6.57E+04,6.57E+04,1.05E+00,8.61E+03
52,4.67E-07,1.00E-07,9.30E+18,1.31E-06,8.53E-09,7.30E-04,8.78E-01,6.41E-01,1.58E+01,5.19E+03,6.08E+01,TRUE,7.91E-01,8.01E-01,6.34E-01,4.37E+02,9.81E+01,5.50E+02,4.84E-07,2.80E-01,4.70E+02,1.20E+00,1.67E+04
53,4.64E-07,1.00E-07,2.64E+20,1.31E-06,4.62E-07,9.02E-04,8.55E-01,7.71E-01,1.23E+01,3.04E+03,7.95E+01,TRUE,6.13E-01,9.64E-01,6.52E-01,4.53E+02,9.39E+01,5.62E+02,1.39E-06,8.69E-03,5.01E+02,7.04E-01,1.06E+04
54,3.67E-07,1.10E-07,7.46E+20,1.31E-06,2.45E-07,1.23E-04,,3.08E-01,7.58E+04,,2.48E-04,FALSE,3.79E+03,3.85E-01,2.21E+02,5.61E+02,9.26E+01,6.69E+02,8.57E-07,7.58E+04,7.58E+04,9.57E-01,8.15E+03
55,4.64E-07,1.00E-07,2.61E+20,1.31E-06,4.59E-07,9.02E-04,8.55E-01,7.71E-01,1.23E+01,3.04E+03,7.93E+01,TRUE,6.13E-01,9.64E-01,6.52E-01,4.81E+02,9.60E+01,5.92E+02,1.38E-06,8.91E-03,5.00E+02,7.06E-01,1.06E+04
56,3.62E-07,1.20E-07,4.41E+20,1.31E-06,3.05E-07,8.99E-04,,2.25E+00,6.97E+04,,2.25E-01,FALSE,3.49E+03,2.81E+00,2.07E+02,5.46E+02,9.40E+01,6.55E+02,9.72E-07,6.97E+04,6.97E+04,9.09E-01,9.62E+03
57,4.70E-07,9.00E-08,1.41E+20,1.31E-06,5.46E-07,7.27E-04,8.68E-01,6.31E-01,1.58E+01,3.85E+03,6.17E+01,TRUE,7.90E-01,7.89E-01,6.23E-01,4.02E+02,9.44E+01,5.12E+02,1.56E-06,3.30E-03,4.79E+02,6.37E-01,1.17E+04
58,4.94E-07,8.00E-08,2.68E+19,1.31E-06,5.08E-07,5.43E-04,,1.36E+00,8.71E+04,,2.41E+00,FALSE,4.35E+03,1.70E+00,1.24E+02,3.54E+02,9.17E+01,4.61E+02,1.51E-06,8.71E+04,8.71E+04,6.31E-01,1.50E+04
59,4.66E-07,1.00E-07,1.04E+20,1.31E-06,5.55E-07,8.08E-04,8.62E-01,6.97E-01,1.39E+01,4.16E+03,6.58E+01,TRUE,6.97E-01,8.71E-01,6.22E-01,4.47E+02,9.60E+01,5.58E+02,1.58E-06,1.72E-03,4.58E+02,6.44E-01,1.35E+04
60,3.88E-07,1.20E-07,4.18E+20,1.31E-06,6.71E-07,8.71E-04,,2.18E+00,6.99E+04,,4.23E-01,FALSE,3.50E+03,2.72E+00,1.95E+02,5.01E+02,9.60E+01,6.12E+02,1.73E-06,6.99E+04,6.99E+04,6.40E-01,1.24E+04
61,4.52E-07,9.00E-08,1.68E+20,1.31E-06,6.91E-07,6.54E-04,8.77E-01,5.73E-01,1.78E+01,4.30E+03,5.77E+01,TRUE,8.92E-01,7.16E-01,6.55E-01,3.88E+02,9.43E+01,4.97E+02,1.83E-06,4.36E-04,5.01E+02,5.76E-01,1.21E+04
62,4.66E-07,1.00E-07,1.87E+20,1.31E-06,6.16E-07,6.94E-04,8.73E-01,6.06E-01,1.66E+01,4.31E+03,6.00E+01,TRUE,8.32E-01,7.58E-01,6.33E-01,4.41E+02,9.69E+01,5.52E+02,1.70E-06,7.79E-04,4.90E+02,6.17E-01,1.24E+04
63,4.61E-07,9.00E-08,1.77E+20,1.31E-06,5.95E-07,7.79E-04,8.63E-01,6.73E-01,1.46E+01,3.56E+03,6.82E+01,TRUE,7.29E-01,8.41E-01,6.19E-01,3.88E+02,9.39E+01,4.96E+02,1.65E-06,1.90E-03,4.97E+02,6.16E-01,1.14E+04
64,4.64E-07,9.00E-08,1.04E+20,1.31E-06,6.58E-07,6.74E-04,8.74E-01,5.89E-01,1.72E+01,4.54E+03,5.66E+01,TRUE,8.62E-01,7.36E-01,6.42E-01,3.84E+02,9.39E+01,4.92E+02,1.78E-06,3.86E-04,4.74E+02,5.85E-01,1.31E+04
65,4.27E-07,9.00E-08,2.27E+19,1.31E-06,7.80E-07,3.79E-04,9.42E-01,3.58E-01,3.26E+01,9.36E+03,3.09E+01,TRUE,1.63E+00,4.47E-01,1.42E+00,4.00E+02,9.39E+01,5.09E+02,1.99E-06,3.44E-05,4.58E+02,5.37E-01,1.73E+04
66,4.81E-07,1.10E-07,2.71E+20,1.31E-06,2.19E-07,5.33E-04,,1.33E+00,7.40E+04,,3.74E-01,FALSE,3.70E+03,1.67E+00,1.98E+02,5.14E+02,9.46E+01,6.24E+02,9.18E-07,7.39E+04,7.40E+04,9.23E-01,9.81E+03
67,4.53E-07,9.00E-08,1.05E+20,1.31E-06,7.08E-07,5.46E-04,8.93E-01,4.87E-01,2.19E+01,5.48E+03,4.62E+01,TRUE,1.09E+00,6.09E-01,7.82E-01,4.10E+02,9.39E+01,5.18E+02,1.87E-06,2.42E-04,4.79E+02,5.67E-01,1.33E+04
68,3.78E-07,7.00E-08,2.12E+20,1.31E-06,7.84E-07,3.07E-04,9.48E-01,2.91E-01,4.18E+01,5.99E+03,3.00E+01,TRUE,2.09E+00,3.64E-01,2.25E+00,3.35E+02,9.20E+01,4.42E+02,1.95E-06,8.37E-06,5.62E+02,5.34E-01,9.73E+03
69,4.38E-07,7.00E-08,9.37E+19,1.31E-06,6.23E-07,1.54E-04,1.05E+00,1.61E-01,9.32E+01,9.78E+03,1.33E+01,TRUE,4.66E+00,2.02E-01,1.52E+01,3.41E+02,9.24E+01,4.48E+02,1.68E-06,2.18E-05,4.91E+02,5.81E-01,1.06E+04
70,4.63E-07,9.00E-08,1.59E+20,1.31E-06,6.22E-07,7.11E-04,8.70E-01,6.18E-01,1.62E+01,3.96E+03,6.18E+01,TRUE,8.11E-01,7.73E-01,6.27E-01,4.13E+02,9.47E+01,5.22E+02,1.71E-06,8.71E-04,4.93E+02,6.02E-01,1.19E+04
71,4.61E-07,9.00E-08,1.20E+20,1.31E-06,6.83E-07,6.73E-04,8.74E-01,5.88E-01,1.73E+01,4.47E+03,5.74E+01,TRUE,8.64E-01,7.35E-01,6.43E-01,4.10E+02,9.47E+01,5.19E+02,1.83E-06,3.31E-04,4.83E+02,5.76E-01,1.29E+04
72,4.59E-07,9.00E-08,1.18E+20,1.31E-06,6.61E-07,6.84E-04,8.73E-01,5.97E-01,1.70E+01,4.37E+03,5.80E+01,TRUE,8.48E-01,7.46E-01,6.38E-01,3.86E+02,9.44E+01,4.95E+02,1.78E-06,4.29E-04,4.80E+02,5.85E-01,1.28E+04
73,3.51E-07,8.00E-08,9.21E+20,1.31E-06,4.03E-07,5.59E-04,,1.40E+00,7.51E+04,,9.60E-03,FALSE,3.75E+03,1.75E+00,2.20E+02,4.54E+02,9.07E+01,5.60E+02,1.16E-06,7.51E+04,7.51E+04,7.55E-01,7.42E+03
