sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
51,3.733992e-07,1.200000e-07,7.385972e+20,1.310000e-06,1.938094e-07,6.351647e-04,,1.587912e+00,6.573400e+04,,2.427358e-01,False,3.286700e+03,1.984890e+00,2.000755e+02,5.767323e+02,9.492014e+01,6.893366e+02,7.610181e-07,6.573311e+04,6.573400e+04,1.053186e+00,8.612128e+03
52,4.671531e-07,1.000000e-07,9.300765e+18,1.310000e-06,8.525039e-09,7.303725e-04,8.777416e-01,6.410783e-01,1.582220e+01,5.192202e+03,6.075700e+01,True,7.911099e-01,8.013479e-01,6.274852e-01,4.585321e+02,9.601240e+01,5.689071e+02,4.842031e-07,2.805115e-01,4.697145e+02,1.195910e+00,1.673361e+04
53,4.828075e-07,8.000000e-08,9.984792e+19,1.310000e-06,5.500473e-07,3.962135e-04,,9.905337e-01,8.499210e+04,,9.683514e-01,False,4.249605e+03,1.238167e+00,1.629012e+02,3.679572e+02,9.174923e+01,4.746581e+02,1.582902e-06,8.498751e+04,8.499210e+04,6.182414e-01,1.156662e+04
54,3.672428e-07,1.100000e-07,7.457790e+20,1.310000e-06,2.448446e-07,1.230554e-04,,3.076385e-01,7.586420e+04,,2.456207e-04,False,3.793210e+03,3.845481e-01,2.148697e+02,5.716041e+02,9.289290e+01,6.790889e+02,8.569321e-07,7.586417e+04,7.586420e+04,9.570464e-01,8.154619e+03
55,4.622733e-07,1.300000e-07,5.917384e+20,1.310000e-06,3.537669e-07,3.319431e-04,9.435436e-01,3.132028e-01,4.013547e+01,6.695729e+03,3.465979e+01,True,2.006774e+00,3.915035e-01,3.639753e+00,5.785755e+02,9.645946e+01,6.897368e+02,1.169807e-06,1.814164e+00,6.110769e+02,8.362318e-01,1.120381e+04
56,3.618735e-07,1.200000e-07,4.414573e+20,1.310000e-06,3.052933e-07,8.989034e-04,,2.247258e+00,6.968272e+04,,2.179639e-01,False,3.484136e+03,2.809073e+00,2.015323e+02,5.710447e+02,9.410071e+01,6.810360e+02,9.724601e-07,6.968217e+04,6.968272e+04,9.082959e-01,9.620547e+03
57,4.693273e-07,1.000000e-07,7.608738e+18,1.310000e-06,1.220020e-08,7.342759e-04,8.790163e-01,6.454404e-01,1.565000e+01,5.153794e+03,6.216165e+01,True,7.825000e-01,8.068005e-01,6.161683e-01,4.698305e+02,9.598329e+01,5.801374e+02,4.937277e-07,2.273730e-01,4.791005e+02,1.179982e+00,1.654672e+04
58,4.658962e-07,1.300000e-07,5.293756e+20,1.310000e-06,3.663546e-07,3.282169e-04,9.448606e-01,3.101192e-01,4.052531e+01,6.853024e+03,3.384652e+01,True,2.026266e+00,3.876491e-01,3.710205e+00,5.970877e+02,1.002298e+02,7.118422e+02,1.198605e-06,1.655116e+00,6.022754e+02,8.214703e-01,1.138782e+04
59,4.716430e-07,1.300000e-07,5.887715e+20,1.310000e-06,3.795050e-07,3.411103e-04,9.419072e-01,3.212942e-01,3.869424e+01,6.763057e+03,3.563872e+01,True,1.934712e+00,4.016178e-01,3.384929e+00,5.792001e+02,9.689699e+01,6.908232e+02,1.230653e-06,1.635982e+00,6.111968e+02,8.100815e-01,1.145737e+04
60,3.877791e-07,1.200000e-07,4.178213e+20,1.310000e-06,6.711953e-07,8.713805e-04,,2.178451e+00,6.993064e+04,,4.274263e-01,False,3.496532e+03,2.723064e+00,1.896044e+02,5.361275e+02,9.402403e+01,6.454906e+02,1.730170e-06,6.992937e+04,6.993064e+04,6.402822e-01,1.235376e+04
61,4.785068e-07,1.100000e-07,9.112469e+19,1.310000e-06,4.888997e-07,4.036626e-04,,1.009156e+00,8.008890e+04,,8.247640e-01,False,4.004445e+03,1.261446e+00,1.694133e+02,4.808695e+02,9.799089e+01,5.934238e+02,1.456306e-06,8.007487e+04,8.008890e+04,6.925822e-01,1.420215e+04
62,4.021300e-07,1.000000e-07,5.151947e+20,1.310000e-06,4.156513e-08,6.060073e-04,8.763555e-01,5.310778e-01,3.135090e+01,2.605247e+03,5.675286e+01,True,1.567545e+00,6.638472e-01,2.255547e+00,5.672337e+02,9.886977e+01,6.804519e+02,4.852602e-07,1.169708e+01,5.503340e+02,1.258460e+00,6.861304e+03
63,4.696405e-07,1.000000e-07,1.000000e+17,1.310000e-06,0.000000e+00,7.167057e-04,1.002429e+00,7.184463e-01,1.543895e+01,2.446348e+03,3.463940e+01,True,7.719473e-01,8.980578e-01,6.169632e-01,4.337816e+02,9.590976e+01,5.447966e+02,4.696405e-07,2.648390e-03,2.518191e+02,1.052603e+00,6.335063e+03
64,4.689732e-07,1.000000e-07,2.766521e+18,1.310000e-06,1.074477e-09,7.301096e-04,8.932767e-01,6.521900e-01,1.545678e+01,4.594019e+03,6.562620e+01,True,7.728391e-01,8.152374e-01,6.040134e-01,4.650094e+02,9.881771e+01,5.782354e+02,4.711221e-07,8.694519e-02,5.126960e+02,1.180156e+00,1.390245e+04
65,4.700081e-07,9.000000e-08,6.735217e+19,1.310000e-06,6.964708e-07,5.116860e-04,8.998121e-01,4.604212e-01,2.345172e+01,6.297704e+03,4.226237e+01,True,1.172586e+00,5.755265e-01,1.270586e+00,4.061950e+02,9.583427e+01,5.168983e+02,1.862950e-06,1.633249e-04,4.652628e+02,5.667353e-01,1.466082e+04
66,4.806243e-07,1.100000e-07,2.710910e+20,1.310000e-06,2.188835e-07,5.331266e-04,,1.332817e+00,7.395339e+04,,3.749752e-01,False,3.697669e+03,1.666021e+00,1.925081e+02,5.250242e+02,9.395559e+01,6.335270e+02,9.183914e-07,7.395166e+04,7.395339e+04,9.209594e-01,9.806729e+03
67,4.827029e-07,9.000000e-08,9.842480e+20,1.310000e-06,7.763221e-07,3.752142e-04,9.384776e-01,3.521301e-01,3.291450e+01,5.985704e+03,4.099741e+01,True,1.645725e+00,4.401627e-01,2.456944e+00,4.784130e+02,9.398981e+01,5.872911e+02,2.035347e-06,5.197435e-04,6.400642e+02,5.464819e-01,1.052817e+04
68,4.729134e-07,9.000000e-08,7.458686e+19,1.310000e-06,6.781247e-07,4.904567e-04,9.037778e-01,4.432638e-01,2.458461e+01,6.376940e+03,4.057765e+01,True,1.229230e+00,5.540798e-01,1.390607e+00,4.142296e+02,9.597422e+01,5.251273e+02,1.829163e-06,2.090951e-04,4.661643e+02,5.735190e-01,1.425536e+04
69,4.645555e-07,9.000000e-08,5.593510e+19,1.310000e-06,6.372966e-07,5.205819e-04,8.983186e-01,4.676484e-01,2.300052e+01,6.246762e+03,4.225588e+01,True,1.150026e+00,5.845605e-01,1.224475e+00,4.184084e+02,9.388874e+01,5.269823e+02,1.739149e-06,2.612774e-04,4.561157e+02,5.907793e-01,1.481146e+04
70,4.687719e-07,9.000000e-08,5.796327e+19,1.310000e-06,6.535006e-07,4.956122e-04,9.033738e-01,4.477231e-01,2.428594e+01,6.530050e+03,4.040302e+01,True,1.214297e+00,5.596538e-01,1.358387e+00,4.155943e+02,9.460319e+01,5.242963e+02,1.775773e-06,2.266648e-04,4.583681e+02,5.843882e-01,1.482932e+04
71,3.640259e-07,8.000000e-08,4.734302e+20,1.310000e-06,8.539009e-09,4.466285e-04,,1.116571e+00,7.555240e+04,,8.341450e-03,False,3.777620e+03,1.395714e+00,2.143566e+02,4.466453e+02,9.396132e+01,5.551103e+02,3.811039e-07,7.555230e+04,7.555240e+04,1.331077e+00,5.918657e+03
72,4.719726e-07,9.000000e-08,1.243576e+20,1.310000e-06,6.427739e-07,5.405316e-04,8.926713e-01,4.825171e-01,2.210710e+01,5.261740e+03,4.600173e+01,True,1.105355e+00,6.031463e-01,1.136007e+00,4.120273e+02,9.428759e+01,5.209019e+02,1.757520e-06,5.163750e-04,4.814421e+02,5.911982e-01,1.261452e+04
73,3.513596e-07,8.000000e-08,9.206780e+20,1.310000e-06,4.031750e-07,5.587583e-04,,1.396896e+00,7.507004e+04,,9.756938e-03,False,3.753502e+03,1.746120e+00,2.142671e+02,4.660411e+02,9.389851e+01,5.748226e+02,1.157710e-06,7.506991e+04,7.507004e+04,7.553853e-01,7.421844e+03
74,3.812446e-07,8.000000e-08,8.029095e+20,1.310000e-06,4.048834e-07,8.718247e-04,,2.179562e+00,7.492601e+04,,1.612106e-02,False,3.746301e+03,2.724452e+00,2.138648e+02,4.600792e+02,9.072549e+01,5.652136e+02,1.191011e-06,7.492588e+04,7.492601e+04,7.459801e-01,7.638785e+03
75,4.716223e-07,9.000000e-08,9.279048e+19,1.310000e-06,6.431137e-07,5.114182e-04,8.985888e-01,4.595547e-01,2.349386e+01,5.819921e+03,4.255781e+01,True,1.174693e+00,5.744434e-01,1.274912e+00,4.157158e+02,9.439971e+01,5.248395e+02,1.757850e-06,3.904065e-04,4.692592e+02,5.901189e-01,1.335696e+04
76,4.809227e-07,1.000000e-07,1.474276e+20,1.310000e-06,2.631898e-08,2.828569e-04,9.595982e-01,2.714290e-01,4.923321e+01,6.558155e+03,2.222670e+01,True,2.461661e+00,3.392863e-01,5.465307e+00,5.207216e+02,9.848513e+01,6.336763e+02,5.335607e-07,2.897835e+00,4.432496e+02,1.196380e+00,9.502203e+03
77,4.601590e-07,9.000000e-08,1.164088e+20,1.310000e-06,6.817964e-07,5.560412e-04,8.904587e-01,4.951318e-01,2.141192e+01,5.255824e+03,4.730278e+01,True,1.070596e+00,6.189147e-01,1.069864e+00,4.183754e+02,9.389490e+01,5.269510e+02,1.823752e-06,3.268154e-04,4.812218e+02,5.760993e-01,1.295037e+04
78,4.682144e-07,9.000000e-08,6.328810e+19,1.310000e-06,6.722991e-07,5.978768e-04,8.850720e-01,5.291640e-01,1.971127e+01,5.521510e+03,4.904816e+01,True,9.855633e-01,6.614550e-01,9.179538e-01,4.125380e+02,9.414031e+01,5.210262e+02,1.812813e-06,1.964397e-04,4.616815e+02,5.773661e-01,1.468510e+04
79,4.237368e-07,1.100000e-07,6.034772e+20,1.310000e-06,1.124276e-08,1.486478e-04,,3.716194e-01,6.679389e+04,,1.292966e-02,False,3.339695e+03,4.645243e-01,2.140664e+02,5.784475e+02,9.805077e+01,6.917765e+02,4.462223e-07,6.679342e+04,6.679389e+04,1.359127e+00,7.166660e+03
80,4.665073e-07,9.000000e-08,8.478676e+19,1.310000e-06,6.706815e-07,5.580213e-04,8.905828e-01,4.969642e-01,2.131450e+01,5.545509e+03,4.638061e+01,True,1.065725e+00,6.212053e-01,1.060782e+00,4.141658e+02,9.467488e+01,5.232444e+02,1.807870e-06,2.665651e-04,4.686214e+02,5.777633e-01,1.377842e+04
81,4.438157e-07,1.200000e-07,3.326978e+19,1.310000e-06,3.369725e-07,7.972874e-04,,1.993219e+00,8.313335e+04,,2.330217e+00,False,4.156667e+03,2.491523e+00,1.218458e+02,5.066392e+02,1.021144e+02,6.235283e+02,1.117761e-06,8.311902e+04,8.313335e+04,8.244625e-01,1.776868e+04
82,4.644827e-07,9.000000e-08,7.219875e+19,1.310000e-06,6.738517e-07,5.618150e-04,8.903520e-01,5.002131e-01,2.114423e+01,5.677813e+03,4.633243e+01,True,1.057212e+00,6.252663e-01,1.045023e+00,4.200237e+02,9.590695e+01,5.303529e+02,1.812186e-06,2.239105e-04,4.644586e+02,5.762084e-01,1.427600e+04
83,4.666409e-07,9.000000e-08,9.215612e+19,1.310000e-06,6.677833e-07,5.646918e-04,8.892992e-01,5.021800e-01,2.103787e+01,5.400945e+03,4.714761e+01,True,1.051893e+00,6.277250e-01,1.035236e+00,4.186240e+02,9.801857e+01,5.314425e+02,1.802207e-06,2.980120e-04,4.710452e+02,5.801778e-01,1.350709e+04
84,4.701565e-07,9.000000e-08,1.209714e+20,1.310000e-06,6.408325e-07,4.358847e-04,9.153297e-01,3.989783e-01,2.801546e+01,6.344239e+03,3.698371e+01,True,1.400773e+00,4.987228e-01,1.790820e+00,4.187125e+02,9.600768e+01,5.294315e+02,1.751821e-06,5.127446e-04,4.797816e+02,5.921575e-01,1.265634e+04
